,Feature Selection Methods,Sampling type,n_features,selected frequencies,training_recall,validation_recall,test_recall,run_time
0,RFE SVC,Original,7,['fa749' 'fa771' 'fa1090' 'fa1296' 'fa1334' 'fa1834' 'fa4000'],0.81,0.872,0.963,2.0
1,RFE SVC,NM2,6,['fa1000' 'fa1090' 'fa1122' 'fa2747' 'fa4000' 'fa4117'],0.841,0.767,0.817,1.0
2,RFE SVC,SMOTE,16,"['fa1029' 'fa1059' 'fa1090' 'fa1296' 'fa1781' 'fa1834' 'fa1887' 'fa2118'
 'fa2181' 'fa2911' 'fa3084' 'fa3174' 'fa3363' 'fa4000' 'fa4117' 'fa5039']",0.896,0.767,0.915,3.0
3,RFE SVC,SMOTEENN,11,"['fa1090' 'fa1259' 'fa1296' 'fa1334' 'fa2118' 'fa2181' 'fa2911' 'fa3174'
 'fa4000' 'fa4896' 'fa6349']",0.908,0.894,0.927,3.0
4,RFE SVC,SMOTETomek,28,"['fa771' 'fa1029' 'fa1059' 'fa1090' 'fa1122' 'fa1259' 'fa1296' 'fa1781'
 'fa1834' 'fa1887' 'fa2058' 'fa2118' 'fa2181' 'fa2244' 'fa2911' 'fa3084'
 'fa3174' 'fa3267' 'fa3363' 'fa4000' 'fa4117' 'fa4237' 'fa4756' 'fa4896'
 'fa5039' 'fa5495' 'fa5656' 'fa5993']",0.929,0.861,0.939,3.0
0,RFECV RF,Original,12,"['fa257' 'fa1090' 'fa1122' 'fa1155' 'fa1224' 'fa1296' 'fa1334' 'fa1373'
 'fa1414' 'fa4117' 'fa4896' 'fa5039']",0.818,0.872,0.976,179.0
1,RFECV RF,NM2,9,"['fa226' 'fa280' 'fa749' 'fa816' 'fa1029' 'fa1090' 'fa2996' 'fa3668'
 'fa5656']",0.841,0.678,0.732,84.0
2,RFECV RF,SMOTE,22,"['fa727' 'fa943' 'fa971' 'fa1000' 'fa1029' 'fa1059' 'fa1090' 'fa1122'
 'fa1155' 'fa1189' 'fa1296' 'fa1334' 'fa1633' 'fa1731' 'fa1781' 'fa1887'
 'fa1943' 'fa2000' 'fa4000' 'fa4117' 'fa4237' 'fa4621']",0.888,0.894,0.902,118.0
3,RFECV RF,SMOTEENN,68,"['fa226' 'fa280' 'fa343' 'fa408' 'fa432' 'fa458' 'fa514' 'fa629' 'fa648'
 'fa686' 'fa727' 'fa749' 'fa771' 'fa840' 'fa865' 'fa917' 'fa943' 'fa971'
 'fa1029' 'fa1059' 'fa1090' 'fa1122' 'fa1155' 'fa1189' 'fa1224' 'fa1259'
 'fa1296' 'fa1334' 'fa1373' 'fa1414' 'fa1455' 'fa1498' 'fa1587' 'fa1633'
 'fa1681' 'fa1731' 'fa1781' 'fa1834' 'fa1887' 'fa1943' 'fa2000' 'fa2058'
 'fa2118' 'fa2181' 'fa2310' 'fa2378' 'fa2519' 'fa3174' 'fa3563' 'fa3668'
 'fa3775' 'fa4000' 'fa4117' 'fa4237' 'fa4362' 'fa4489' 'fa4621' 'fa4756'
 'fa4896' 'fa5039' 'fa5187' 'fa6168' 'fa6349' 'fa6727' 'fa6924' 'fa7127'
 'fa7336' 'fa7772']",0.935,0.733,0.89,100.0
4,RFECV RF,SMOTETomek,37,"['fa226' 'fa667' 'fa686' 'fa727' 'fa749' 'fa890' 'fa917' 'fa971' 'fa1000'
 'fa1029' 'fa1059' 'fa1090' 'fa1122' 'fa1155' 'fa1189' 'fa1224' 'fa1259'
 'fa1296' 'fa1334' 'fa1373' 'fa1455' 'fa1834' 'fa1887' 'fa1943' 'fa2000'
 'fa2181' 'fa3563' 'fa3668' 'fa3775' 'fa4000' 'fa4117' 'fa4237' 'fa4362'
 'fa4489' 'fa4621' 'fa4756' 'fa5039']",0.913,0.861,0.89,172.0
0,SFS KNN,Original,23,"['fa226' 'fa257' 'fa280' 'fa297' 'fa324' 'fa343' 'fa363' 'fa385' 'fa408'
 'fa432' 'fa458' 'fa749' 'fa771' 'fa816' 'fa865' 'fa890' 'fa917' 'fa943'
 'fa971' 'fa1000' 'fa1029' 'fa1059' 'fa1090']",0.765,0.928,0.988,37.0
1,SFS KNN,NM2,5,['fa226' 'fa324' 'fa343' 'fa363' 'fa385'],0.795,0.717,0.615,23.0
2,SFS KNN,SMOTE,12,"['fa226' 'fa257' 'fa280' 'fa297' 'fa324' 'fa343' 'fa363' 'fa385' 'fa408'
 'fa432' 'fa458' 'fa471']",0.735,0.606,0.652,42.0
3,SFS KNN,SMOTEENN,9,['fa226' 'fa257' 'fa280' 'fa297' 'fa324' 'fa363' 'fa500' 'fa514' 'fa545'],0.762,0.717,0.794,77.0
4,SFS KNN,SMOTETomek,39,"['fa226' 'fa280' 'fa297' 'fa324' 'fa343' 'fa363' 'fa408' 'fa458' 'fa471'
 'fa500' 'fa514' 'fa545' 'fa577' 'fa629' 'fa667' 'fa686' 'fa727' 'fa749'
 'fa771' 'fa793' 'fa840' 'fa865' 'fa890' 'fa917' 'fa943' 'fa971' 'fa1000'
 'fa1029' 'fa1059' 'fa1090' 'fa1122' 'fa1155' 'fa1189' 'fa1224' 'fa1259'
 'fa1296' 'fa1334' 'fa1455' 'fa1498']",0.917,0.894,0.915,92.0
0,SBS KNN,Original,5,['fa363' 'fa385' 'fa648' 'fa1498' 'fa3563'],0.792,0.944,0.976,77.0
1,SBS KNN,NM2,5,['fa226' 'fa1029' 'fa1155' 'fa1334' 'fa3462'],0.795,0.778,0.841,44.0
2,SBS KNN,SMOTE,5,['fa408' 'fa1090' 'fa1296' 'fa3084' 'fa4362'],0.846,0.861,0.89,76.0
3,SBS KNN,SMOTEENN,7,['fa324' 'fa432' 'fa1887' 'fa2911' 'fa4362' 'fa6349' 'fa7336'],0.858,0.717,0.915,112.0
4,SBS KNN,SMOTETomek,5,['fa408' 'fa1189' 'fa3084' 'fa4362' 'fa7127'],0.894,0.861,0.915,139.0
0,LASSO,Original,6,['fa771' 'fa1090' 'fa1334' 'fa1834' 'fa1887' 'fa4000'],0.788,0.872,0.963,52.0
1,LASSO,NM2,4,['fa727' 'fa771' 'fa890' 'fa4000'],0.886,0.783,0.829,3.0
2,LASSO,SMOTE,107,"['fa226' 'fa257' 'fa280' 'fa297' 'fa324' 'fa343' 'fa363' 'fa385' 'fa408'
 'fa432' 'fa458' 'fa471' 'fa500' 'fa514' 'fa545' 'fa561' 'fa577' 'fa594'
 'fa629' 'fa648' 'fa667' 'fa686' 'fa707' 'fa727' 'fa749' 'fa771' 'fa793'
 'fa816' 'fa840' 'fa865' 'fa890' 'fa917' 'fa943' 'fa971' 'fa1000' 'fa1029'
 'fa1059' 'fa1090' 'fa1122' 'fa1155' 'fa1189' 'fa1224' 'fa1259' 'fa1296'
 'fa1334' 'fa1373' 'fa1414' 'fa1455' 'fa1498' 'fa1542' 'fa1587' 'fa1633'
 'fa1681' 'fa1731' 'fa1781' 'fa1834' 'fa1887' 'fa1943' 'fa2000' 'fa2058'
 'fa2118' 'fa2181' 'fa2244' 'fa2310' 'fa2378' 'fa2448' 'fa2519' 'fa2593'
 'fa2669' 'fa2747' 'fa2828' 'fa2911' 'fa2996' 'fa3084' 'fa3174' 'fa3267'
 'fa3363' 'fa3462' 'fa3563' 'fa3668' 'fa3775' 'fa3886' 'fa4000' 'fa4117'
 'fa4237' 'fa4362' 'fa4489' 'fa4621' 'fa4756' 'fa4896' 'fa5039' 'fa5187'
 'fa5339' 'fa5495' 'fa5656' 'fa5822' 'fa5993' 'fa6168' 'fa6349' 'fa6535'
 'fa6727' 'fa6924' 'fa7127' 'fa7336' 'fa7550' 'fa7772' 'fa8000']",0.954,0.822,0.927,32.0
3,LASSO,SMOTEENN,34,"['fa280' 'fa297' 'fa385' 'fa408' 'fa500' 'fa545' 'fa577' 'fa727' 'fa771'
 'fa917' 'fa943' 'fa1296' 'fa1334' 'fa1542' 'fa1731' 'fa2244' 'fa2310'
 'fa2593' 'fa2669' 'fa2747' 'fa2996' 'fa3363' 'fa3775' 'fa4000' 'fa4237'
 'fa4362' 'fa4756' 'fa4896' 'fa5495' 'fa5656' 'fa5993' 'fa7336' 'fa7772'
 'fa8000']",0.966,0.806,0.927,16.0
